"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","6.48","174825429.84","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","5.99","55536422.77","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","8.9","53332342.2","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","24.22","590155733.86","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","6.72","230409016.32","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"VNET","21Vianet Group, Inc.","9.46","547100974.64","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","16.57","368410304.61","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","59.61","1722331937.79","n/a","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","7.37","531400370.27","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","12.81","163806299.37","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","29.2","859150315.2","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","31","759194774","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","0.59","26941806.61","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","45.45","1004535900","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABMD","ABIOMED, Inc.","23.11","891070896.66","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.35","218078265.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","23.73","1167391227.66","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","33.81","1705910124.66","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","13.01","1029935153.85","n/a","1985","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","2.6","190245348.8","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","7.86","305299762.74","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACCL","Accelrys, Inc.","8.6","480273097.4","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ANCX","Access National Corporation","12.88","132673312.24","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","5.15","381696740.8","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","7.19","267736323.61","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","11.28","308997270","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/acet",
"ACHN","Achillion Pharmaceuticals, Inc.","7.56","729968190.84","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","44.88","1788445200.96","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACNB","ACNB Corporation","16.75","99999677.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","32.53","1319614842.64","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACFN","Acorn Energy, Inc.","8.3","150151448.8","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ACTS","Actions Semiconductor Co., Ltd.","2.98","256280000","n/a","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","4.33","83398415.32","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","14.86","16606671876.14","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"BIRT","Actuate Corporation","6.45","305247327.15","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
